ID,Title,Date,Image_URL,Characters,Page_URL,arc_number,arc_name
0001,When Boredom Strikes,"June 2, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-02-when-boredom-strikes.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/06/02/when-boredom-strikes/,1.0,Imaginate!
0002,Mission Cleanliness,"June 4, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-04-mission-cleanliness.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/06/04/mission-cleanliness/,1.0,Imaginate!
0003,The First Comic With Ninjas In It,"June 6, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-06-the-first-comic-with-ninjas-in-it.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/06/06/the-first-comic-with-ninjas-in-it/,1.0,Imaginate!
0004,Negotiations Break Down,"June 9, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-09-negotiations-break-down.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/06/09/negotiations-break-down/,1.0,Imaginate!
0005,It Gets Worse,"June 11, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-11-it-gets-worse.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/06/11/it-gets-worse/,1.0,Imaginate!
0006,It Always Comes To An End,"June 13, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-13-it-always-comes-to-an-end.png,"Grape, Mrs. Sandwich, Peanut",https://www.housepetscomic.com/comic/2008/06/13/it-always-comes-to-an-end/,1.0,Imaginate!
0007,A Mournful Situation,"June 16, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-16-a-mournful-situation.png,"Bino, Peanut",https://www.housepetscomic.com/comic/2008/06/16/a-mournful-situation/,2.0,The Game
0008,You All Just Lost,"June 18, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-18-you-all-just-lost.png,"Bino, Peanut",https://www.housepetscomic.com/comic/2008/06/18/you-all-just-lost/,2.0,The Game
0009,The Game I Mean,"June 20, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-20-the-game-i-mean.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/06/20/the-game-i-mean/,2.0,The Game
0010,No Escape,"June 23, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-23-no-escape.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/06/23/no-escape/,2.0,The Game
0011,You Cannot Win,"June 25, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-25-you-cannot-win.png,"Bino, Fox, Grape, Joey, Rex",https://www.housepetscomic.com/comic/2008/06/25/you-cannot-win/,2.0,The Game
0012,I Said No Escape,"June 27, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-27-i-said-no-escape.png,"Bino, Fox, Grape, Joey, Rex",https://www.housepetscomic.com/comic/2008/06/27/i-said-no-escape/,2.0,The Game
0013,Okay Fine Some Escape,"June 30, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-06-30-okay-fine-some-escape.png,"Bino, Grape",https://www.housepetscomic.com/comic/2008/06/30/okay-fine-some-escape/,2.0,The Game
0014,Funny You Should Ask,"July 2, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-07-02-funny-you-should-ask.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/07/02/funny-you-should-ask/,2.0,The Game
0015,Everybody Wins,"July 4, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-07-04-everybody-wins.png,"Bino, Fox, Grape, Peanut",https://www.housepetscomic.com/comic/2008/07/04/everybody-wins/,2.0,The Game
0016,Channeling You At Age 8,"July 7, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-07-07-channeling-you-at-age-8.png,Peanut,https://www.housepetscomic.com/comic/2008/07/07/channeling-you-at-age-8/,,
0017,The Great Outdoors,"July 9, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-07-09-the-great-outdoors.png,Neighborhood Cats,https://www.housepetscomic.com/comic/2008/07/09/the-great-outdoors/,,
0018,A Real Buzz,"July 11, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-07-11-a-real-buzz.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/07/11/a-real-buzz/,,
0019,Misunderstood Artist,"July 14, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-07-14-misunderstood-artist.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/07/14/misunderstood-artist/,3.0,Cat Tail
0020,Ostracize Doesn’t Mean To Turn Into An Ostrich,"July 16, 2008",https://www.housepetscomic.com/wp-content/uploads/2008/07/2008-07-16-ostracize-doesnt-mean-to-turn-into-an-ostrich.png,"Bino, Fox, Grape, Peanut, Rex",https://www.housepetscomic.com/comic/2008/07/16/ostracize-doesnt-mean-to-turn-into-an-ostrich/,3.0,Cat Tail
0021,A Cat Isn’t Fine Either,"July 19, 2008",https://www.housepetscomic.com/wp-content/uploads/2008/07/2008-07-18-a-cat-isnt-fine-either.png,"Bino, Fox, Peanut, Rex",https://www.housepetscomic.com/comic/2008/07/19/a-cat-isnt-fine-either/,3.0,Cat Tail
0022,Pushing The PG Rating IN YOUR MIND,"July 28, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-07-28-pushing-the-PG-rating-IN-YOUR-MIND.png,"Joey, Peanut",https://www.housepetscomic.com/comic/2008/07/28/pushing-the-pg-rating-in-your-mind/,3.0,Cat Tail
0023,Hey Dude,"July 30, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-07-30-hey-dude.png,"Grape, Joey, Peanut",https://www.housepetscomic.com/comic/2008/07/30/hey-dude/,3.0,Cat Tail
0024,Anise Is Like Catnip But For Dogs,"August 1, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-01-anise-is-like-catnip-but-for-dogs.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/08/01/anise-is-like-catnip-but-for-dogs/,3.0,Cat Tail
0025,Curveball Outta Nowhere,"August 4, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-04-curveball-outta-nowhere.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/08/04/curveball-outta-nowhere/,3.0,Cat Tail
0026,I Planned This Joke For An Awful Long Time,"August 6, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-06-i-planned-this-joke-for-an-awful-long-time.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/08/06/i-planned-this-joke-for-an-awful-long-time/,3.0,Cat Tail
0027,I Swear It’s Platonic,"August 8, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-08-i-swear-its-platonic.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2008/08/08/i-swear-its-platonic/,3.0,Cat Tail
0028,Don’t Shoot,"August 11, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-11-dont-shoot.png,"Grape, Raccoons",https://www.housepetscomic.com/comic/2008/08/11/dont-shoot/,4.0,The Raccoons
0029,Stick Em Up,"August 13, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-13-stick-em-up.png,"Grape, Raccoons",https://www.housepetscomic.com/comic/2008/08/13/stick-em-up/,4.0,The Raccoons
0030,A Minor Flaw,"August 15, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-15-a-minor-flaw.png,"Grape, Mr. Sandwich, Mrs. Sandwich",https://www.housepetscomic.com/comic/2008/08/15/a-minor-flaw/,4.0,The Raccoons
0031,"Yup, He’s Over It","August 18, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-18-yup-hes-over-it.png,"Bino, Marvin, Tiger",https://www.housepetscomic.com/comic/2008/08/18/yup-hes-over-it/,,
0032,I Have Decided To Start A New Comic,"August 20, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-20-i-have-decided-to-start-a-new-comic.png,"Grape, Innocent Bystanders, Nefarious Villains, Peanut, Spot (Superdog)",https://www.housepetscomic.com/comic/2008/08/20/i-have-decided-to-start-a-new-comic/,5.0,The Adventures of Spot
0033,Whoops My Freudian Slipped,"August 22, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-22-whoops-my-freudian-slipped.png,"Innocent Bystanders, Peanut, Spot (Superdog)",https://www.housepetscomic.com/comic/2008/08/22/whoops-my-freudian-slipped/,5.0,The Adventures of Spot
0034,The Loyal Order,"August 25, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-25-the-loyal-order.png,"Bino, Neighborhood Dogs, Rex",https://www.housepetscomic.com/comic/2008/08/25/the-loyal-order/,6.0,Fido's Return
0035,It’s A Dog Thing,"August 27, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-27-its-a-dog-thing.png,"Fox, Marvin, Maxwell, Neighborhood Dogs, Rex",https://www.housepetscomic.com/comic/2008/08/27/its-a-dog-thing/,6.0,Fido's Return
0036,It’s A Pet Friendly Neighborhood,"August 29, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-08-29-its-a-pet-friendly-neighborhood.png,"Grape, Neighborhood Dogs",https://www.housepetscomic.com/comic/2008/08/29/its-a-pet-friendly-neighborhood/,6.0,Fido's Return
0037,A Breed Apart,"September 1, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-01-a-breed-apart.png,"Fox, Grape",https://www.housepetscomic.com/comic/2008/09/01/a-breed-apart/,6.0,Fido's Return
0038,Our Sacred Duty,"September 3, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-03-our-sacred-duty.png,"Academy Instructor, Bino, Fido, Ryan",https://www.housepetscomic.com/comic/2008/09/03/our-sacred-duty/,6.0,Fido's Return
0039,The Universal Constant,"September 5, 2008",https://www.housepetscomic.com/wp-content/uploads/2016/07/2008-09-05-the-universal-constant.png,"Bino, Fido, Ryan",https://www.housepetscomic.com/comic/2008/09/05/the-universal-constant/,6.0,Fido's Return
